Port_of_disembarqm,Date,Year,Month,Fishing_ground,Fishing_gear,Species,Total_Length_cm
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,35.9
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,33.4
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,28.1
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,28.1
PONTA DE AREIA,06-05-2007,2007,5,PEDRA GRANDE,Hand_line,L_synagris,27.1
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,46
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,53
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,48
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,47.6
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,43.5
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,50
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,43.5
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,42.1
PONTA DE AREIA,10-06-2007,2007,6,SEBASTI«O GOMES,Hand_line,L_synagris,44.5
