"","X","Linf","K","t_anchor","C","ts","phiL","MA","BS"
"98",98,53.5011459189249,0.300608074489891,0.690965036294034,0.464254085006551,0.39007173153674,2.93472680997378,5,2
"99",99,78.7457444684182,0.144612239391468,0.406623460577758,0.473075370054673,0.563598013883978,2.95265923784527,5,2
"100",100,89.8192296117417,0.102731980822981,0.676212567767607,0.283066892506327,0.637843212811276,2.91844431354167,5,2
"101",101,58.4440877437592,0.227194428443909,0.47010637819767,0.474548920989037,0.449938699603081,2.88987884504024,5,2
"102",102,66.1682954579592,0.186626672744751,0.44056524336338,0.341345876455307,0.714004784822464,2.91227360746497,5,2
"103",103,59.0056372135878,0.252926155924797,0.5559341609478,0.506401717662811,0.440701514482498,2.94478075300101,5,2
"104",104,94.8013249188662,0.0758787542581558,0.0609950572252274,0.409397765994072,0.53735876083374,2.83374900616808,5,2
"105",105,72.0736326426268,0.15366904437542,0.275487840175629,0.589049801230431,0.386665642261505,2.90213921421675,5,2
"106",106,79.3078230470419,0.117659375071526,0.561418160796165,0.427310064435005,0.464956492185593,2.8692585952015,5,2
"107",107,85.5124917046766,0.102857254345886,0.50222561814005,0.607707954921129,0.642991346674082,2.87629404976238,5,2
"108",108,69.7409211045044,0.134964682950335,0.617656402614735,0.460838827308795,0.504442369014717,2.81719549687839,5,2
"109",109,66.4664885705082,0.192773087167064,0.570666521554813,0.544666979858652,0.867210913026321,2.9302518735781,5,2
"110",110,81.3022204660697,0.116421707875554,0.810597906560505,0.480112179563003,0.363895959112193,2.88623877975135,5,2
"111",111,67.4828031506749,0.172892181892644,0.162060770998146,0.252166357685953,0.00362395937554538,2.89616158379062,5,2
"112",112,69.5554475520834,0.183666623398527,0.70122407871427,0.733057493355679,0.880723369868441,2.94869254064727,5,2
"113",113,84.5144278136099,0.13298371586362,0.354659031342881,0.186635616065584,0.390692372230828,2.97766017498256,5,2
"114",114,73.7376478404563,0.0858331318703938,0.572782043475481,0.482473807098652,0.51766688445867,2.66903351914142,5,2
"115",115,70.5528043806553,0.102524980902672,0.338980749249458,0.656403586268425,0.304460987448692,2.70785825919286,5,2
"116",116,71.3356257823256,0.128273889448553,0.603075746106218,0.183578731299118,0.565153585649452,2.81475121414234,5,2
"117",117,59.0664104014573,0.255123606830217,0.551553025789259,0.463274323376972,0.357448755771339,2.9494318033665,5,2
"118",118,67.4910371303558,0.198166072368622,0.532469183206558,0.318316444754601,0.358275458216667,2.95552150572741,5,2
"119",119,70.6217925769705,0.100731312162921,0.533970622468349,0.461469744105125,0.918799402663316,2.70104196519747,5,2
"120",120,80.3374242186546,0.0609645247459412,0.560233667492867,0.182242587208748,0.372193112969398,2.59491299907909,5,2
"121",121,77.072565473447,0.145756124936879,0.397407078439774,0.635893303869076,0.645895042291556,2.93742644436832,5,2
"122",122,63.8189825415611,0.159102618694305,0.683331087231636,0.76242196559906,0.454658776521683,2.81157707983958,5,2
"123",123,66.8396635502577,0.149112701416016,0.631705537438393,0.640604600310326,0.394358709454536,2.82358314847264,5,2
"124",124,73.4903742074966,0.153627082705498,0.359666526317596,0.513257324695587,0.611712247133255,2.91892870117773,5,2
"125",125,69.8686308968696,0.120221571670747,0.45922294012697,0.60980720450701,0.136188004858873,2.76854686758777,5,2
"126",126,53.3486521484335,0.260579210780355,0.440139314138046,0.251890819347659,0.646771236774953,2.87018666732722,5,2
"127",127,52.2428949177265,0.281994894146919,0.542773500084877,0.198189601302147,0.0294328927993774,2.88629571366399,5,2
"128",128,75.0780572444201,0.135173425078392,0.706062465906143,0.544894516468048,0.37158414721489,2.88191737042817,5,2
"129",129,91.3115042448044,0.051931768655777,0.503878772258759,0.525403693318367,0.516203746199608,2.63648410835889,5,2
"130",130,64.9417265942727,0.194099115606064,0.383816131111931,0.281577347676656,0.387471413591386,2.91307121848097,5,2
"131",131,68.6298109441996,0.174636885523796,0.415712922811508,0.322889670729637,0.735081419348717,2.91516158262408,5,2
"132",132,89.7868257844327,0.0700982457221125,0.410530129372351,0.36909674710019,0.518590329703508,2.75213238606577,5,2
"133",133,62.0035820461363,0.147309699804623,0.47177140902755,0.595482224196861,0.45484732865148,2.75306490470658,5,2
"134",134,67.6214336812831,0.172656949915745,0.233911347299332,0.563796337692864,0.366417367364509,2.897352813095,5,2
"135",135,84.4261443941192,0.129309123644702,0.253647036647438,0.459612653002284,0.803691122388567,2.96458308080772,5,2
"136",136,72.3552933633327,0.163597196340561,0.240584775805473,0.355286106467247,0.63160140812397,2.93271647404761,5,2
"137",137,96.5894543133909,0.104820958608761,0.0725902626290917,0.606323247309774,0.0910091360565275,2.99030755211016,5,2
"138",138,59.8984058505676,0.210796159986071,0.351015605950636,0.64679454943166,0.530871685849596,2.87869322346031,5,2
"139",139,72.4562829239074,0.174046959670514,0.662601385724342,0.583227892574249,0.761300693603891,2.96081854233956,5,2
"140",140,71.1068487603697,0.162916068531188,0.184910509261524,0.927443998452872,0.391551078726979,2.91578678611191,5,2
"141",141,61.6673049733506,0.222270789319902,0.526072048000032,0.316802735428947,0.144320589465859,2.92699232976985,5,2
"142",142,106.768337350269,0.0893102163495496,0.0181809142231941,0.0370483272708952,0.64120231824927,3.00778610087675,5,2
"143",143,64.5526386005694,0.194761615141454,0.346735233609474,0.275024303060628,0.329680094235108,2.90933136511456,5,2
"144",144,66.1211142390966,0.143799901008606,0.574404314160347,0.35909566283226,0.534468099474907,2.7984389140178,5,2
"145",145,69.9038859307766,0.164600104093552,0.276234984397888,0.476199522614479,0.654540359973907,2.90543274289324,5,2
"146",146,59.5465742192543,0.195787823495296,0.0567011091535477,0.616658293328707,0.427069207518885,2.84149924069722,5,2
"147",147,84.6717140078545,0.128622993826866,0.345847710967064,0.337748184800148,0.703024417161942,2.96479531654693,5,2
"148",148,71.323567956686,0.12926010787487,0.588064178824425,0.490964666008949,0.47574557363987,2.81793063522805,5,2
"149",149,68.6476993977246,0.162688894279133,0.183502097846808,0.528609962004592,0.560462800021224,2.8846098819277,5,2
"150",150,63.8073989897966,0.214003726840019,0.7165457457304,0.452829927206039,0.747928395867348,2.94016341985967,5,2
